Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
5700000,650,Kharghar,1,Old,0,1,1,1,1,1,1,0,1,0,0,0,0,"8,769",7
5500000,560,Kharghar,1,Old,0,1,1,1,1,1,0,0,1,0,1,0,0,"9,821",7
6000000,765,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,1,1,1,"7,843",12
5600000,650,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"8,615",11
4900000,655,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,481",4
13500000,1390,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"9,712",10
22000000,1590,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"13,836",13
17500000,1760,Kharghar,3,Old,1,1,1,1,1,1,1,0,0,0,1,1,1,"9,943",10
17800000,1716,Kharghar,3,Old,1,1,1,1,1,0,1,1,1,1,0,1,1,"10,373",11
14000000,1680,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,333",12
7200000,1050,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,1,1,1,"6,857",12
7000000,1100,Kharghar,2,Old,0,1,1,1,1,0,0,1,1,0,0,1,0,"6,364",7
15000000,1635,Kharghar,3,Old,1,1,1,1,1,1,0,1,1,0,1,0,1,"9,174",10
10000000,1078,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"9,276",12
17500000,1760,Kharghar,3,Old,1,1,1,1,1,1,1,0,1,0,0,1,1,"9,943",10
11000000,1415,Kharghar,3,Old,1,1,1,1,1,0,1,1,1,1,0,1,1,"7,774",11
13000000,1800,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,222",11
12500000,1147,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"10,898",11
13000000,1197,Kharghar,2,Old,1,1,1,1,1,1,0,1,1,0,0,0,1,"10,860",9
15000000,1300,Kharghar,3,Old,0,1,1,1,1,1,1,1,0,0,0,0,1,"11,538",8
7500000,1050,Kharghar,2,Old,0,1,1,1,1,0,0,0,0,0,0,1,0,"7,143",5
9500000,1240,Kharghar,2,Old,1,1,1,1,1,1,1,0,1,1,0,1,1,"7,661",11
5500000,650,Kharghar,1,Old,1,1,1,1,1,0,1,0,0,0,0,1,0,"8,462",7
5000000,600,Sector 20 Kharghar,1,Old,0,1,1,1,1,1,0,0,1,0,0,0,0,"8,333",6
5000000,550,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"9,091",4
5500000,550,Kharghar,1,Old,1,1,1,1,1,1,1,0,1,0,1,1,1,"10,000",11
4200000,650,Kharghar,1,Old,0,1,1,1,1,0,0,0,1,0,0,0,0,"6,462",5
4200000,646,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,1,0,0,"6,502",6
6000000,740,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,108",12
5000000,570,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"8,772",4
5500000,670,Kharghar,1,Old,1,1,1,1,1,0,1,0,1,0,0,1,1,"8,209",9
4300000,640,Kharghar,1,Old,1,1,1,1,1,0,1,0,0,0,0,1,1,"6,719",8
15500000,1700,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,1,1,1,"9,118",11
11399999,1550,Kharghar,3,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"7,355",6
12000000,1530,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"7,843",10
